"id","fold","landmark","label","E-CPV Pred","E-CPV Error","E-CPV Uncertainty","E-MHA Pred","E-MHA Error","E-MHA Confidence","E-MHA Bin","E-CPV Bin","S-MHA Pred","S-MHA Error","S-MHA Error Confidence","S-MHA Bin"
"366","0","0","[ 848. 1051.]","[ 857. 1056.]","10.295630140987","0.0","[ 855. 1054.]","7.615773105863909","0.5468443036079407","2","0","[ 857. 1056.]","10.295630140987","0.5468443","2"
"208","0","0","[ 829. 1079.]","[ 820. 1072.]","11.40175425099138","0.0","[ 818. 1070.]","14.212670403551895","0.3265250623226166","0","0","[ 820. 1072.]","11.40175425099138","0.32652506","0"
"318","0","0","[ 785. 1008.]","[ 789. 1015.]","8.06225774829855","0.0","[ 787. 1014.]","6.324555320336759","0.7050545811653137","4","0","[ 789. 1015.]","8.06225774829855","0.7050546","4"
"195","0","0","[ 848. 1042.]","[ 850. 1048.]","6.324555320336759","0.0","[ 849. 1046.]","4.123105625617661","0.5904355049133301","4","0","[ 850. 1048.]","6.324555320336759","0.5904355","4"
"194","0","0","[731. 967.]","[683. 980.]","49.72926703662542","0.0","[681. 978.]","51.19570294468082","0.5521574020385742","2","0","[683. 980.]","49.72926703662542","0.5521574","2"
"336","0","0","[ 834. 1041.]","[ 835. 1036.]","5.0990195135927845","0.0","[ 833. 1035.]","6.082762530298219","0.6639319658279419","4","0","[ 835. 1036.]","5.0990195135927845","0.66393197","4"
"329","0","0","[ 811. 1027.]","[ 819. 1033.]","10.0","0.0","[ 818. 1031.]","8.06225774829855","0.6729558706283569","4","0","[ 819. 1033.]","10.0","0.6729559","4"
"399","0","0","[808. 995.]","[819. 972.]","25.495097567963924","0.0","[817. 971.]","25.632011235952593","0.43302199244499207","0","0","[819. 972.]","25.495097567963924","0.433022","0"
"013","0","0","[ 752. 1037.]","[ 759. 1029.]","10.63014581273465","0.0","[ 758. 1028.]","10.816653826391969","0.6045546531677246","4","0","[ 759. 1029.]","10.63014581273465","0.60455465","4"
"125","0","0","[ 802. 1002.]","[ 798. 1003.]","4.123105625617661","0.0","[ 796. 1001.]","6.082762530298219","0.4494186341762543","0","0","[ 798. 1003.]","4.123105625617661","0.44941863","0"
"252","0","0","[ 845. 1066.]","[ 835. 1071.]","11.180339887498949","0.0","[ 833. 1069.]","12.36931687685298","0.5408345460891724","2","0","[ 835. 1071.]","11.180339887498949","0.54083455","2"
"203","0","0","[ 795. 1043.]","[ 790. 1047.]","6.4031242374328485","0.0","[ 788. 1046.]","7.615773105863909","0.48486682772636414","1","0","[ 790. 1047.]","6.4031242374328485","0.48486683","1"
"114","0","0","[ 814. 1035.]","[ 818. 1037.]","4.47213595499958","0.0","[ 817. 1035.]","3.0","0.6091351509094238","4","0","[ 818. 1037.]","4.47213595499958","0.60913515","4"
"061","0","0","[822. 987.]","[819. 978.]","9.486832980505138","0.0","[818. 976.]","11.704699910719626","0.5917365550994873","4","0","[819. 978.]","9.486832980505138","0.59173656","4"
"248","0","0","[ 766. 1014.]","[ 774. 1017.]","8.54400374531753","0.0","[ 773. 1016.]","7.280109889280518","0.5602650046348572","3","0","[ 774. 1017.]","8.54400374531753","0.560265","3"
"064","0","0","[ 795. 1068.]","[ 797. 1083.]","15.132745950421556","0.0","[ 795. 1082.]","14.0","0.5689263343811035","3","0","[ 797. 1083.]","15.132745950421556","0.56892633","3"
"234","0","0","[ 774. 1072.]","[ 773. 1093.]","21.02379604162864","0.0","[ 772. 1092.]","20.09975124224178","0.5815463662147522","3","0","[ 773. 1093.]","21.02379604162864","0.58154637","3"
"393","0","0","[847. 906.]","[766. 877.]","86.03487664894976","0.0","[765. 876.]","87.31551981177229","0.26979222893714905","0","0","[766. 877.]","86.03487664894976","0.26979223","0"
"332","0","0","[867. 993.]","[865. 979.]","14.142135623730951","0.0","[864. 978.]","15.297058540778355","0.45344752073287964","0","0","[865. 979.]","14.142135623730951","0.45344752","0"
"348","0","0","[ 867. 1011.]","[ 865. 1008.]","3.605551275463989","0.0","[ 864. 1007.]","5.0","0.490466445684433","1","0","[ 865. 1008.]","3.605551275463989","0.49046645","1"
"243","0","0","[ 869. 1023.]","[ 865. 1027.]","5.656854249492381","0.0","[ 863. 1026.]","6.708203932499369","0.5620879530906677","3","0","[ 865. 1027.]","5.656854249492381","0.56208795","3"
"365","0","0","[ 902. 1063.]","[ 910. 1069.]","10.0","0.0","[ 908. 1067.]","7.211102550927978","0.5627266764640808","3","0","[ 910. 1069.]","10.0","0.5627267","3"
"235","0","0","[ 769. 1036.]","[ 775. 1027.]","10.816653826391969","0.0","[ 773. 1026.]","10.770329614269007","0.36221662163734436","0","0","[ 775. 1027.]","10.816653826391969","0.36221662","0"
"069","0","0","[744. 939.]","[743. 943.]","4.123105625617661","0.0","[742. 941.]","2.8284271247461903","0.5456648468971252","2","0","[743. 943.]","4.123105625617661","0.54566485","2"
"265","0","0","[ 810. 1109.]","[ 820. 1112.]","10.44030650891055","0.0","[ 818. 1110.]","8.06225774829855","0.6090449094772339","4","0","[ 820. 1112.]","10.44030650891055","0.6090449","4"
"058","0","0","[ 726. 1107.]","[ 729. 1111.]","5.0","0.0","[ 727. 1109.]","2.23606797749979","0.6859800219535828","4","0","[ 729. 1111.]","5.0","0.68598","4"
"342","0","0","[763. 960.]","[752. 962.]","11.180339887498949","0.0","[750. 961.]","13.038404810405298","0.44284719228744507","0","0","[752. 962.]","11.180339887498949","0.4428472","0"
"198","0","0","[ 776. 1072.]","[ 774. 1053.]","19.1049731745428","0.0","[ 772. 1052.]","20.396078054371138","0.4536712169647217","0","0","[ 774. 1053.]","19.1049731745428","0.45367122","0"
"044","0","0","[ 760. 1078.]","[ 765. 1075.]","5.830951894845301","0.0","[ 764. 1073.]","6.4031242374328485","0.29785090684890747","0","0","[ 765. 1075.]","5.830951894845301","0.2978509","0"
"007","0","0","[ 835. 1004.]","[ 834. 1017.]","13.038404810405298","0.0","[ 833. 1015.]","11.180339887498949","0.5730466842651367","3","0","[ 834. 1017.]","13.038404810405298","0.5730467","3"
"351","0","0","[ 839. 1047.]","[ 834. 1048.]","5.0990195135927845","0.0","[ 832. 1046.]","7.0710678118654755","0.36599409580230713","0","0","[ 834. 1048.]","5.0990195135927845","0.3659941","0"
"270","0","0","[793. 984.]","[788. 991.]","8.602325267042627","0.0","[787. 989.]","7.810249675906654","0.49634310603141785","1","0","[788. 991.]","8.602325267042627","0.4963431","1"
"288","0","0","[ 812. 1052.]","[ 820. 1054.]","8.246211251235321","0.0","[ 818. 1053.]","6.082762530298219","0.6008751392364502","4","0","[ 820. 1054.]","8.246211251235321","0.60087514","4"
"380","0","0","[1021. 1002.]","[1031. 1000.]","10.198039027185569","0.0","[1030.  998.]","9.848857801796104","0.4951590299606323","1","0","[1031. 1000.]","10.198039027185569","0.49515903","1"
"205","0","0","[ 847. 1128.]","[ 834. 1166.]","40.162171256046406","0.0","[ 833. 1164.]","38.62641583165593","0.5549429059028625","2","0","[ 834. 1166.]","40.162171256046406","0.5549429","2"
"132","0","0","[ 814. 1066.]","[ 806. 1066.]","8.0","0.0","[ 804. 1065.]","10.04987562112089","0.4865509271621704","1","0","[ 806. 1066.]","8.0","0.48655093","1"
"397","0","0","[ 771. 1025.]","[ 788. 1032.]","18.384776310850235","0.0","[ 787. 1030.]","16.76305461424021","0.593690037727356","4","0","[ 788. 1032.]","18.384776310850235","0.59369004","4"
"247","0","0","[ 839. 1078.]","[ 834. 1087.]","10.295630140987","0.0","[ 832. 1085.]","9.899494936611665","0.40941524505615234","0","0","[ 834. 1087.]","10.295630140987","0.40941525","0"
"283","0","0","[ 818. 1037.]","[ 819. 1037.]","1.0","0.0","[ 817. 1036.]","1.4142135623730951","0.5148387551307678","2","0","[ 819. 1037.]","1.0","0.51483876","2"
"396","0","0","[ 782. 1070.]","[ 788. 1079.]","10.816653826391969","0.0","[ 787. 1078.]","9.433981132056603","0.6211038827896118","4","0","[ 788. 1079.]","10.816653826391969","0.6211039","4"
"346","0","0","[ 887. 1010.]","[ 888. 1027.]","17.029386365926403","0.0","[ 887. 1025.]","15.0","0.5142255425453186","2","0","[ 888. 1027.]","17.029386365926403","0.51422554","2"
"286","0","0","[699. 943.]","[721. 948.]","22.561028345356956","0.0","[720. 947.]","21.37755832643195","0.3478946089744568","0","0","[721. 948.]","22.561028345356956","0.3478946","0"
"295","0","0","[ 847. 1075.]","[ 843. 1071.]","5.656854249492381","0.0","[ 841. 1070.]","7.810249675906654","0.6402179002761841","4","0","[ 843. 1071.]","5.656854249492381","0.6402179","4"
"091","0","0","[ 825. 1036.]","[ 818. 1034.]","7.280109889280518","0.0","[ 817. 1032.]","8.94427190999916","0.5744935870170593","3","0","[ 818. 1034.]","7.280109889280518","0.5744936","3"
"352","0","0","[ 817. 1111.]","[ 812. 1110.]","5.0990195135927845","0.0","[ 811. 1109.]","6.324555320336759","0.5507332682609558","2","0","[ 812. 1110.]","5.0990195135927845","0.55073327","2"
"316","0","0","[867. 995.]","[ 858. 1008.]","15.811388300841896","0.0","[ 856. 1007.]","16.278820596099706","0.5768386125564575","3","0","[ 858. 1008.]","15.811388300841896","0.5768386","3"
"309","0","0","[ 803. 1094.]","[ 804. 1091.]","3.1622776601683795","0.0","[ 803. 1090.]","4.0","0.5250503420829773","2","0","[ 804. 1091.]","3.1622776601683795","0.52505034","2"
"217","0","0","[ 808. 1049.]","[ 803. 1060.]","12.083045973594572","0.0","[ 802. 1059.]","11.661903789690601","0.5855056047439575","4","0","[ 803. 1060.]","12.083045973594572","0.5855056","4"
"049","0","0","[ 735. 1106.]","[ 728. 1115.]","11.40175425099138","0.0","[ 726. 1113.]","11.40175425099138","0.4341520071029663","0","0","[ 728. 1115.]","11.40175425099138","0.434152","0"
"156","0","0","[ 845. 1073.]","[ 843. 1085.]","12.165525060596439","0.0","[ 841. 1083.]","10.770329614269007","0.6076638102531433","4","0","[ 843. 1085.]","12.165525060596439","0.6076638","4"
"212","0","0","[ 808. 1051.]","[ 805. 1054.]","4.242640687119285","0.0","[ 803. 1053.]","5.385164807134504","0.4335046112537384","0","0","[ 805. 1054.]","4.242640687119285","0.4335046","0"
"151","0","0","[ 856. 1029.]","[ 850. 1037.]","10.0","0.0","[ 849. 1036.]","9.899494936611665","0.44369804859161377","0","0","[ 850. 1037.]","10.0","0.44369805","0"
"305","0","0","[ 818. 1076.]","[ 827. 1075.]","9.055385138137417","0.0","[ 825. 1074.]","7.280109889280518","0.3835521340370178","0","0","[ 827. 1075.]","9.055385138137417","0.38355213","0"
"119","0","0","[ 824. 1022.]","[ 827. 1032.]","10.44030650891055","0.0","[ 826. 1031.]","9.219544457292887","0.5401477813720703","2","0","[ 827. 1032.]","10.44030650891055","0.5401478","2"
"079","0","0","[ 882. 1066.]","[ 864. 1047.]","26.1725046566048","0.0","[ 863. 1045.]","28.319604517012593","0.29009321331977844","0","0","[ 864. 1047.]","26.1725046566048","0.2900932","0"
"385","0","0","[ 851. 1110.]","[ 849. 1121.]","11.180339887498949","0.0","[ 848. 1120.]","10.44030650891055","0.4956902861595154","1","0","[ 849. 1121.]","11.180339887498949","0.4956903","1"
"394","0","0","[ 876. 1042.]","[ 873. 1036.]","6.708203932499369","0.0","[ 871. 1035.]","8.602325267042627","0.536983072757721","2","0","[ 873. 1036.]","6.708203932499369","0.5369831","2"
"375","0","0","[1105. 1024.]","[1107. 1035.]","11.180339887498949","0.0","[1105. 1034.]","10.0","0.48578396439552307","1","0","[1107. 1035.]","11.180339887498949","0.48578396","1"
"041","0","0","[ 816. 1009.]","[ 805. 1017.]","13.601470508735444","0.0","[ 803. 1015.]","14.317821063276353","0.5806642174720764","3","0","[ 805. 1017.]","13.601470508735444","0.5806642","3"
"118","0","0","[ 856. 1123.]","[ 857. 1126.]","3.1622776601683795","0.0","[ 855. 1124.]","1.4142135623730951","0.5150402784347534","2","0","[ 857. 1126.]","3.1622776601683795","0.5150403","2"
"209","0","0","[ 823. 1063.]","[ 819. 1074.]","11.704699910719626","0.0","[ 818. 1072.]","10.295630140987","0.5590888261795044","3","0","[ 819. 1074.]","11.704699910719626","0.5590888","3"
"083","0","0","[739. 973.]","[743. 973.]","4.0","0.0","[741. 971.]","2.8284271247461903","0.5766535997390747","3","0","[743. 973.]","4.0","0.5766536","3"
"096","0","0","[ 740. 1015.]","[ 738. 1011.]","4.47213595499958","0.0","[ 736. 1010.]","6.4031242374328485","0.3880513906478882","0","0","[ 738. 1011.]","4.47213595499958","0.3880514","0"
"183","0","0","[ 864. 1067.]","[ 865. 1056.]","11.045361017187261","0.0","[ 863. 1054.]","13.038404810405298","0.6417319774627686","4","0","[ 865. 1056.]","11.045361017187261","0.641732","4"
"052","0","0","[ 800. 1043.]","[ 817. 1029.]","22.02271554554524","0.0","[ 816. 1028.]","21.93171219946131","0.45308226346969604","0","0","[ 817. 1029.]","22.02271554554524","0.45308226","0"
"250","0","0","[ 765. 1037.]","[ 760. 1032.]","7.0710678118654755","0.0","[ 758. 1030.]","9.899494936611665","0.5196970105171204","2","0","[ 760. 1032.]","7.0710678118654755","0.519697","2"
"073","0","0","[ 811. 1104.]","[ 805. 1102.]","6.324555320336759","0.0","[ 803. 1100.]","8.94427190999916","0.49607351422309875","1","0","[ 805. 1102.]","6.324555320336759","0.4960735","1"
"370","0","0","[ 832. 1095.]","[ 849. 1093.]","17.11724276862369","0.0","[ 847. 1092.]","15.297058540778355","0.5724433660507202","3","0","[ 849. 1093.]","17.11724276862369","0.57244337","3"
"200","0","0","[ 810. 1016.]","[ 813. 1024.]","8.54400374531753","0.0","[ 811. 1023.]","7.0710678118654755","0.5177503228187561","2","0","[ 813. 1024.]","8.54400374531753","0.5177503","2"
"095","0","0","[809. 998.]","[ 813. 1018.]","20.396078054371138","0.0","[ 811. 1017.]","19.1049731745428","0.5451158881187439","2","0","[ 813. 1018.]","20.396078054371138","0.5451159","2"
"230","0","0","[ 814. 1069.]","[ 819. 1065.]","6.4031242374328485","0.0","[ 818. 1064.]","6.4031242374328485","0.2919935882091522","0","0","[ 819. 1065.]","6.4031242374328485","0.2919936","0"
"034","0","0","[ 823. 1070.]","[ 820. 1069.]","3.1622776601683795","0.0","[ 818. 1068.]","5.385164807134504","0.33985355496406555","0","0","[ 820. 1069.]","3.1622776601683795","0.33985355","0"
"204","0","0","[ 785. 1034.]","[ 782. 1018.]","16.278820596099706","0.0","[ 781. 1016.]","18.439088914585774","0.5619111657142639","3","0","[ 782. 1018.]","16.278820596099706","0.56191117","3"
"153","0","0","[ 857. 1084.]","[ 849. 1088.]","8.94427190999916","0.0","[ 847. 1087.]","10.44030650891055","0.6863878965377808","4","0","[ 849. 1088.]","8.94427190999916","0.6863879","4"
"055","0","0","[ 833. 1042.]","[ 835. 1035.]","7.280109889280518","0.0","[ 833. 1034.]","8.0","0.6334941387176514","4","0","[ 835. 1035.]","7.280109889280518","0.63349414","4"
